,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,demand_fulfilled_dates_phc,demand_fulfilled_dates_ss,bad_experience_phc,bad_experience_ss
419,7,4,-1,0,0,423,0,0,0
420,7,-1,23,0,0,0,469,0,0
421,7,3,-1,1,0,424,0,0,0
422,6,2,-1,0,0,424,0,0,0
423,6,-1,5,2,0,0,441,0,0
424,4,-1,1,3,0,0,441,0,0
425,1,-1,0,1,0,0,441,0,0
426,0,0,-1,0,0,443,0,1,0
427,0,-1,4,0,0,0,441,0,0
428,0,31,-1,0,0,459,0,0,0
429,0,3,-1,0,0,0,441,1,0
430,0,-1,4,0,0,0,441,0,0
431,0,4,-1,0,0,444,0,1,0
432,0,-1,110,0,0,0,553,0,0
433,0,-1,32,0,0,0,469,0,0
434,0,-1,9,0,0,0,469,0,0
435,0,-1,5,0,0,0,441,0,0
436,0,2,-1,0,0,0,469,1,0
437,0,-1,-1,0,0,0,0,0,0
438,0,-1,1,0,0,0,441,0,0
439,0,-1,0,0,0,0,441,0,0
440,50,-1,0,0,0,0,441,0,0
441,50,1,-1,0,14,442,0,0,0
442,36,1,-1,2,0,443,0,0,0
443,34,0,-1,4,0,443,0,0,0
444,30,-1,274,1,0,0,721,0,0
445,29,56,-1,0,0,501,0,0,0
446,29,141,-1,0,0,0,609,1,0
447,29,-1,-1,0,0,0,0,0,0
448,29,-1,10,0,0,0,469,0,0
449,29,3,-1,0,0,452,0,0,0
450,29,-1,2,0,0,0,469,0,0
451,29,-1,1,0,0,0,469,0,0
452,29,2,-1,1,0,454,0,0,0
453,28,-1,1,0,0,0,469,0,0
454,28,59,-1,2,0,513,0,0,0
455,26,-1,4,0,0,0,469,0,0
456,26,6,-1,0,0,462,0,0,0
457,26,0,-1,1,0,457,0,0,0
458,25,-1,1,0,0,0,469,0,0
459,25,-1,-1,1,0,0,0,0,0
460,24,10,-1,0,0,470,0,0,0
461,24,-1,1,0,0,0,469,0,0
462,24,0,-1,2,0,462,0,0,0
463,22,-1,1,0,0,0,469,0,0
464,22,-1,-1,0,0,0,0,0,0
465,22,-1,5,0,0,0,497,0,0
466,22,-1,0,0,0,0,469,0,0
467,22,-1,0,0,0,0,469,0,0
468,22,-1,2,0,0,0,497,0,0
469,22,219,-1,0,14,688,0,0,0
470,8,5,-1,1,0,475,0,0,0
471,7,87,-1,0,0,558,0,0,0
472,7,-1,-1,1,0,0,0,0,0
473,6,61,-1,0,0,534,0,0,0
474,6,15,-1,0,0,489,0,0,0
475,6,24,-1,1,0,499,0,0,0
476,5,90,-1,0,0,566,0,0,0
477,5,5,-1,0,0,482,0,0,0
478,5,-1,3,0,0,0,497,0,0
479,5,-1,18,0,0,0,497,0,0
480,50,-1,231,0,0,0,721,0,0
481,50,248,-1,0,0,729,0,0,0
482,50,2,-1,1,0,484,0,0,0
483,49,17,-1,0,0,500,0,0,0
484,49,0,-1,2,0,484,0,0,0
485,47,-1,1,0,0,0,497,0,0
486,47,-1,86,1,0,0,581,0,0
487,46,-1,3,0,0,0,497,0,0
488,46,0,-1,1,0,488,0,0,0
489,45,1,-1,1,0,490,0,0,0
490,44,-1,1,1,0,0,497,0,0
491,43,-1,157,0,0,0,665,0,0
492,43,-1,0,0,0,0,497,0,0
493,43,-1,77,0,0,0,0,0,1
494,43,-1,0,0,0,0,497,0,0
495,43,-1,0,1,0,0,497,0,0
496,42,-1,15,0,0,0,525,0,0
497,42,128,-1,0,12,625,0,0,0
498,30,21,-1,0,0,519,0,0,0
499,30,-1,-1,1,0,0,0,0,0
500,29,-1,78,1,0,0,581,0,0
501,28,4,-1,1,0,505,0,0,0
502,27,0,-1,1,0,502,0,0,0
503,26,9,-1,0,0,512,0,0,0
504,26,3,-1,0,0,507,0,0,0
505,26,-1,-1,1,0,0,0,0,0
506,25,0,-1,1,0,506,0,0,0
507,24,2,-1,1,0,509,0,0,0
508,23,0,-1,1,0,508,0,0,0
509,22,-1,1,1,0,0,525,0,0
