Birth Latitude,Birth Longitude,Births,Location ID,key,PHC_ID,Primary Health Centre Name,Primary Health Centre Location,Mandal,PHC Latitude,PHC Longitude,PHC Full Name,Distance
17.570416899999998,77.7870822,4.29055357,92,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.4171395024043782
17.570416899999998,77.7954156,4.29055357,93,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.0127108021656386
17.570416899999998,77.8037489,4.28887463,94,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.266326748114402
17.570416899999998,77.8120822,4.29055357,95,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.9344932163812274
17.570416899999998,77.82041559999998,4.29055357,96,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.7279440307909337
17.570416899999998,77.82874890000002,4.29055357,97,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",3.563949850008401
17.570416899999998,77.8370822,4.29055357,98,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",4.4184249136135625
17.570416899999998,77.8454156,4.29055357,99,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",5.282424548944924
17.570416899999998,77.8537489,4.29055357,100,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",6.151920720902165
17.570416899999998,77.8620822,4.29055357,101,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.921597069327143
17.570416899999998,77.8704156,4.29055357,102,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.49942308368603
17.570416899999998,77.8787489,4.29055357,103,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.17557984457549
17.570416899999998,77.88708220000002,4.29055357,104,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",5.96609475512164
17.570416899999998,77.89541559999998,4.29055357,105,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",5.883196294251856
17.570416899999998,77.90374890000002,4.2099824,106,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",5.932195716777682
17.570416899999998,77.9120822,4.07905436,107,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.109918790594001
17.570416899999998,77.9204156,3.90728951,108,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.405664464614077
17.570416899999998,77.95374890000002,3.7869823,109,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",8.452833025241489
17.570416899999998,77.9620822,3.7869823,110,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",9.108121121079604
17.5620836,77.77874890000002,4.27880335,111,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.697259676337972
17.5620836,77.7870822,4.29055357,112,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.1752502262507765
17.5620836,77.7954156,2.83176541,113,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.9362249579231445
17.5620836,77.8037489,3.81859231,114,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.0801427767986618
17.5620836,77.8120822,4.29055357,115,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.542788438079074
17.5620836,77.82041559999998,4.29055357,116,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",3.1883158641585108
17.5620836,77.82874890000002,4.29055357,117,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",3.927551425749434
17.5620836,77.8370822,4.29055357,118,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",4.716642292723264
17.5620836,77.8454156,4.29055357,119,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",5.534313952973891
17.5620836,77.8537489,4.29055357,120,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",6.369553222880049
17.5620836,77.8620822,4.11893129,121,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.153601624023966
17.5620836,77.8704156,4.29055357,122,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",5.674552557236628
17.5620836,77.8787489,4.03312063,123,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",5.300532415886104
17.5620836,77.88708220000002,4.29055357,124,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",5.05490129416267
17.5620836,77.89541559999998,4.03312063,125,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",4.956782617302359
17.5620836,77.90374890000002,4.29055357,126,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",5.014844756713334
17.5620836,77.9120822,4.29055357,127,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",5.223880549283405
17.5620836,77.9204156,3.81859231,128,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",5.566913675945748
17.5620836,77.9287489,4.01358938,129,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.021077871601035
17.5620836,77.94541559999998,4.05501986,130,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",7.173775051847698
