scenario_name,ss_mode,ss_replenishment_source,replenishmentdisruption,ccedisruption,phc,ss,overall
ccedisruption,periodic,phc,0,2,0.447019868,0.552980132,0.82739726
ccedisruption,periodic,phc,0,2,0.428093645,0.571906355,0.819178082
ccedisruption,periodic,phc,0,2,0.480645161,0.519354839,0.849315068
ccedisruption,periodic,phc,0,2,0.459731544,0.540268456,0.816438356
ccedisruption,periodic,phc,0,2,0.4375,0.5625,0.832876712
ccedisruption,periodic,phc,0,2,0.468646865,0.531353135,0.830136986
ccedisruption,periodic,phc,0,2,0.417197452,0.582802548,0.860273973
ccedisruption,periodic,phc,0,2,0.345890411,0.654109589,0.8
ccedisruption,periodic,phc,0,2,0.444444444,0.555555556,0.838356164
ccedisruption,periodic,phc,0,2,0.399339934,0.600660066,0.830136986
ccedisruption,periodic,phc,0,2,0.43877551,0.56122449,0.805479452
ccedisruption,periodic,phc,0,2,0.483333333,0.516666667,0.821917808
ccedisruption,periodic,phc,0,2,0.410596026,0.589403974,0.82739726
ccedisruption,periodic,phc,0,2,0.418367347,0.581632653,0.805479452
ccedisruption,periodic,phc,0,2,0.450331126,0.549668874,0.82739726
ccedisruption,periodic,phc,0,2,0.430921053,0.569078947,0.832876712
ccedisruption,periodic,phc,0,2,0.403125,0.596875,0.876712329
ccedisruption,periodic,phc,0,2,0.454237288,0.545762712,0.808219178
ccedisruption,periodic,phc,0,2,0.424836601,0.575163399,0.838356164
ccedisruption,periodic,phc,0,2,0.381756757,0.618243243,0.810958904
ccedisruption,periodic,phc,0,2,0.439189189,0.560810811,0.810958904
ccedisruption,periodic,phc,0,2,0.437086093,0.562913907,0.82739726
ccedisruption,periodic,phc,0,2,0.433447099,0.566552901,0.802739726
ccedisruption,periodic,phc,0,2,0.383870968,0.616129032,0.849315068
ccedisruption,periodic,phc,0,2,0.420711974,0.579288026,0.846575342
ccedisruption,periodic,phc,0,2,0.421052632,0.578947368,0.832876712
ccedisruption,periodic,phc,0,2,0.448844884,0.551155116,0.830136986
ccedisruption,periodic,phc,0,2,0.444067797,0.555932203,0.808219178
ccedisruption,periodic,phc,0,2,0.392156863,0.607843137,0.838356164
ccedisruption,periodic,phc,0,2,0.414790997,0.585209003,0.852054795
ccedisruption,periodic,phc,0,2,0.411184211,0.588815789,0.832876712
ccedisruption,periodic,phc,0,2,0.424920128,0.575079872,0.857534247
ccedisruption,periodic,phc,0,2,0.397435897,0.602564103,0.854794521
ccedisruption,periodic,phc,0,2,0.461279461,0.538720539,0.81369863
ccedisruption,periodic,phc,0,2,0.384868421,0.615131579,0.832876712
ccedisruption,periodic,phc,0,2,0.402684564,0.597315436,0.816438356
