Latitude,Longitude,Location Name,Type,Level
17.114,77.9032,Dongenkapally,AWC,1
17.1104,77.826,Rakonda,AWC,1
17.114,77.9032,Gudur,AWC,1
17.1751025,77.8807786,Palepally,AWC,1
17.0685,77.8684,Dornalpally,AWC,1
17.1152,77.8718,Godgonpally,AWC,1
16.9947,77.7907,Dadapoor - I,AWC,1
17.0186,77.7947,Dadapoor - Ii,AWC,1
17.0188,77.7939,Kothapally,AWC,1
17.0737,77.7914,Dirsampally - I,AWC,1
17.089,77.7916,Dirsampally - II,AWC,1
17.1042,77.7956,IlabadTanda,AWC,1
17.134,77.7967,Kistapoor - I,AWC,1
17.1356,77.7977,Kistapoor - II,AWC,1
17.0187,77.7946,Gumdal,AWC,1
16.9948,77.7906,GumdalTanda,AWC,1
17.0395,77.7926,Mallepally,AWC,1
17.0771,77.7719,Kondaipally,AWC,1
17.1134,77.7917,Brhamanpally,AWC,1
17.0771,77.855,PeddaTanda -2,AWC,1
17.1023,77.7717,Ganjipally,AWC,1
17.1258,77.7786,Budlapoor,AWC,1
17.0849,77.7735,Badempally,AWC,1
17.0138,77.8749,Kulkacherla - I,AWC,1
17.0178,77.8694,Kulkacherla - II,AWC,1
17.0137,77.885,Chapalagudem,AWC,1
17.0135,77.8521,Bomreddypally,AWC,1
17.0295,77.8406,Bandavelikacherla - I,AWC,1
17.0295,77.8406,Bandavelikacherla - II,AWC,1
17.0565,77.9513,Adivivenkatapoor,AWC,1
17.1348949,77.9038654,Thirumalapoor - I,AWC,1
17.127801,77.8894248,Thirumalapoor - II,AWC,1
16.9944,77.9359,Ippaipally,AWC,1
16.9843,77.8861,DhansinghTanda,AWC,1
16.9444,77.9105,Ananthasagar,AWC,1
16.995,77.8274,Salveed - I,AWC,1
16.9948,77.8274,Salveed - II,AWC,1
16.9731,77.8528,DeeplanaikTanda,AWC,1
17.0044,77.8159,Chellapoor,AWC,1
16.9764,77.862,Antharam - I,AWC,1
16.9715,77.8674,Antharam - II,AWC,1
16.9813,77.8849,CheruvumundaliTanda,AWC,1
16.9571,77.8682,Puttapahad,AWC,1
16.9949,77.8486,Puttapahad SC,AWC,1
16.9966,77.8981,Mujahidpoor - I,AWC,1
17.0606,77.9107,Mujahidpoor - II,AWC,1
